ano,data_dados,id_estacao,precipitacao_total,temperatura_max,temperatura_min
2023,2023-11-17,A621,0.0,30.8,28.4
2023,2023-11-17,A621,0.0,34.8,33.3
2023,2023-11-17,A621,0.0,28.6,27.5
2023,2023-11-17,A621,0.0,28.8,27.2
2023,2023-11-17,A621,0.0,28.9,27.2
2023,2023-11-17,A621,0.0,27.0,24.7
2023,2023-11-17,A621,0.0,26.1,24.9
2023,2023-11-17,A621,0.0,28.4,26.9
2023,2023-11-17,A621,0.0,27.6,25.1
2023,2023-11-17,A621,0.0,28.0,27.3
2023,2023-11-17,A621,0.0,28.0,26.8
2023,2023-11-16,A621,0.0,32.5,30.1
2023,2023-11-16,A621,0.0,34.3,32.5
2023,2023-11-16,A621,0.0,30.5,27.6
2023,2023-11-16,A621,0.0,34.1,32.5
2023,2023-11-16,A621,0.0,39.7,34.7
2023,2023-11-16,A621,0.0,36.8,34.3
2023,2023-11-16,A621,0.0,37.8,36.4
2023,2023-11-16,A621,0.0,32.9,30.2
2023,2023-11-16,A621,0.0,35.2,33.2
2023,2023-11-16,A621,0.0,39.5,38.5
2023,2023-11-16,A621,0.0,28.2,27.6
2023,2023-11-16,A621,0.0,38.4,36.7
2023,2023-11-16,A621,0.0,39.7,38.9
2023,2023-11-16,A621,0.0,30.3,27.7
2023,2023-11-16,A621,0.0,27.6,26.0
2023,2023-11-16,A621,0.0,26.7,26.2
2023,2023-11-16,A621,0.0,27.7,27.2
2023,2023-11-16,A621,0.0,27.7,26.7
2023,2023-11-16,A621,0.0,27.9,26.7
2023,2023-11-16,A621,0.0,26.4,25.6
2023,2023-11-16,A621,0.0,28.0,26.6
2023,2023-11-16,A621,0.0,26.5,25.8
2023,2023-11-16,A621,0.0,27.7,25.8
2023,2023-11-16,A621,0.0,27.8,26.8
2023,2023-11-15,A621,0.0,32.6,31.3
2023,2023-11-15,A621,0.0,30.7,29.0
2023,2023-11-15,A621,0.0,33.4,32.1
2023,2023-11-15,A621,0.0,34.2,33.0
2023,2023-11-15,A621,0.0,34.1,30.9
2023,2023-11-15,A621,0.0,32.1,30.4
2023,2023-11-15,A621,0.0,30.9,28.9
2023,2023-11-15,A621,0.0,29.9,28.9
2023,2023-11-15,A621,0.0,34.9,33.8
2023,2023-11-15,A621,0.0,29.3,28.1
2023,2023-11-15,A621,0.6,24.9,24.0
2023,2023-11-15,A621,0.0,27.7,26.0
2023,2023-11-15,A621,0.0,26.8,26.0
2023,2023-11-15,A621,0.0,26.0,25.2
2023,2023-11-15,A621,0.0,24.9,24.7
2023,2023-11-15,A621,9.6,25.0,24.4
2023,2023-11-15,A621,0.4,24.8,24.4
2023,2023-11-15,A621,0.0,25.4,24.9
2023,2023-11-15,A621,0.0,25.2,24.9
